encryption,compression,compressionBzip2,compressionGzip,compressionLzo,compressionZpaq,compressionLzma,unlimitedWindowSize,disableCompressibilityTesting,level,processorCount,maxRam,<$performance
0,0,0,0,0,0,0,0,0,6,4,6,12379.6
0,0,0,0,0,0,0,0,0,7,4,6,14635.8
0,0,0,0,0,0,0,0,0,8,4,6,14362
0,0,0,0,0,0,0,0,0,9,4,6,14561.8
0,0,0,0,0,0,0,0,0,1,1,18,10330.6
0,0,0,0,0,0,0,0,0,2,1,18,10499.2
0,0,0,0,0,0,0,0,0,3,1,18,10618
0,0,0,0,0,0,0,0,0,4,1,18,10702.6
0,0,0,0,0,0,0,0,0,5,1,18,11228.8
0,0,0,0,0,0,0,0,0,6,1,18,11584.6
0,0,0,0,0,0,0,0,0,7,1,18,12504.6
0,0,0,0,0,0,0,0,0,8,1,18,12605.4
0,0,0,0,0,0,0,0,0,9,1,18,12656.6
0,0,0,0,0,0,0,0,0,1,2,18,10373
0,0,0,0,0,0,0,0,0,2,2,18,10364
0,0,0,0,0,0,0,0,0,3,2,18,10689.2
0,0,0,0,0,0,0,0,0,4,2,18,10892.6
0,0,0,0,0,0,0,0,0,5,2,18,11183.6
0,0,0,0,0,0,0,0,0,6,2,18,11504.4
0,0,0,0,0,0,0,0,0,7,2,18,12712.2
0,0,0,0,0,0,0,0,0,8,2,18,12709.2
0,0,0,0,0,0,0,0,0,9,2,18,12655.2
0,0,0,0,0,0,0,0,0,1,3,18,10427.8
0,0,0,0,0,0,0,0,0,2,3,18,10324
0,0,0,0,0,0,0,0,0,3,3,18,10568.4
0,0,0,0,0,0,0,0,0,4,3,18,10719.8
0,0,0,0,0,0,0,0,0,5,3,18,11203.4
0,0,0,0,0,0,0,0,0,6,3,18,11563.6
0,0,0,0,0,0,0,0,0,7,3,18,12512.4
0,0,0,0,0,0,0,0,0,8,3,18,12580.6
0,0,0,0,0,0,0,0,0,9,3,18,12494.8
0,0,0,0,0,0,0,0,0,1,4,18,10464.6
0,0,0,0,0,0,0,0,0,2,4,18,10240.6
0,0,0,0,0,0,0,0,0,3,4,18,10589.2
0,0,0,0,0,0,0,0,0,4,4,18,10762.6
0,0,0,0,0,0,0,0,0,5,4,18,11228
0,0,0,0,0,0,0,0,0,6,4,18,11443
0,0,0,0,0,0,0,0,0,7,4,18,12512.6
0,0,0,0,0,0,0,0,0,8,4,18,12624
0,0,0,0,0,0,0,0,0,9,4,18,12493.6
0,0,0,0,0,0,0,1,0,1,1,2,10686
0,0,0,0,0,0,0,1,0,2,1,2,10426.4
0,0,0,0,0,0,0,1,0,3,1,2,10519.8
0,0,0,0,0,0,0,1,0,4,1,2,10693
0,0,0,0,0,0,0,1,0,5,1,2,11186
0,0,0,0,0,0,0,1,0,6,1,2,11509.8
0,0,0,0,0,0,0,1,0,7,1,2,12731
0,0,0,0,0,0,0,1,0,8,1,2,12868.6
0,0,0,0,0,0,0,1,0,9,1,2,12682.4
0,0,0,0,0,0,0,1,0,1,2,2,10493.4
0,0,0,0,0,0,0,1,0,2,2,2,10528.8
0,0,0,0,0,0,0,1,0,3,2,2,10606.6
0,0,0,0,0,0,0,1,0,4,2,2,11100.6
0,0,0,0,0,0,0,1,0,5,2,2,11049.4
0,0,0,0,0,0,0,1,0,6,2,2,11553.4
0,0,0,0,0,0,0,1,0,7,2,2,12710
0,0,0,0,0,0,0,1,0,8,2,2,12928.6
0,0,0,0,0,0,0,1,0,9,2,2,12877.4
0,0,0,0,0,0,0,1,0,1,3,2,10444.8
0,0,0,0,0,0,0,1,0,2,3,2,10378.8
0,0,0,0,0,0,0,1,0,3,3,2,10732
0,0,0,0,0,0,0,1,0,4,3,2,10673.2
0,0,0,0,0,0,0,1,0,5,3,2,11310.8
0,0,0,0,0,0,0,1,0,6,3,2,11388
0,0,0,0,0,0,0,1,0,7,3,2,12721
0,0,0,0,0,0,0,1,0,8,3,2,12764.6
0,0,0,0,0,0,0,1,0,9,3,2,12775
0,0,0,0,0,0,0,1,0,1,4,2,10460.8
0,0,0,0,0,0,0,1,0,2,4,2,10349.8
0,0,0,0,0,0,0,1,0,3,4,2,10547.6
0,0,0,0,0,0,0,1,0,4,4,2,10754
0,0,0,0,0,0,0,1,0,5,4,2,11141.8
0,0,0,0,0,0,0,1,0,6,4,2,11394.8
0,0,0,0,0,0,0,1,0,7,4,2,12647
0,0,0,0,0,0,0,1,0,8,4,2,12687
0,0,0,0,0,0,0,1,0,9,4,2,12837
0,0,0,0,0,0,0,1,0,1,1,6,10439
0,0,0,0,0,0,0,1,0,2,1,6,10347.2
0,0,0,0,0,0,0,1,0,3,1,6,10473.8
0,0,0,0,0,0,0,1,0,4,1,6,10621.6
0,0,0,0,0,0,0,1,0,5,1,6,11036.6
0,0,0,0,0,0,0,1,0,6,1,6,11223.6
0,0,0,0,0,0,0,1,0,7,1,6,12472.4
0,0,0,0,0,0,0,1,0,8,1,6,12500.2
0,0,0,0,0,0,0,1,0,9,1,6,12491.8
0,0,0,0,0,0,0,1,0,1,2,6,10431.4
0,0,0,0,0,0,0,1,0,2,2,6,10368.6
0,0,0,0,0,0,0,1,0,3,2,6,10379.8
0,0,0,0,0,0,0,1,0,4,2,6,10588.8
0,0,0,0,0,0,0,1,0,5,2,6,10984.2
0,0,0,0,0,0,0,1,0,6,2,6,11255.2
0,0,0,0,0,0,0,1,0,7,2,6,12513.4
0,0,0,0,0,0,0,1,0,8,2,6,12429.4
0,0,0,0,0,0,0,1,0,9,2,6,12553.6
0,0,0,0,0,0,0,1,0,1,3,6,10596.8
0,0,0,0,0,0,0,1,0,2,3,6,10255
0,0,0,0,0,0,0,1,0,3,3,6,10373.6
0,0,0,0,0,0,0,1,0,4,3,6,10643.4
0,0,0,0,0,0,0,1,0,5,3,6,10989
0,0,0,0,0,0,0,1,0,6,3,6,11239.8
0,0,0,0,0,0,0,1,0,7,3,6,12533.6
0,0,0,0,0,0,0,1,0,8,3,6,12725.8
0,0,0,0,0,0,0,1,0,9,3,6,12570.6
0,0,0,0,0,0,0,1,0,1,4,6,10665.4
0,0,0,0,0,0,0,1,0,2,4,6,10466.4
0,0,0,0,0,0,0,1,0,3,4,6,10336.6
0,0,0,0,0,0,0,1,0,4,4,6,10589.8
0,0,0,0,0,0,0,1,0,5,4,6,10955.6
0,0,0,0,0,0,0,1,0,6,4,6,11254.2
0,0,0,0,0,0,0,1,0,7,4,6,12518.6
0,0,0,0,0,0,0,1,0,8,4,6,12581.8
0,0,0,0,0,0,0,1,0,9,4,6,12501
0,0,0,0,0,0,0,1,0,1,1,18,10387.2
0,0,0,0,0,0,0,1,0,2,1,18,10233.4
0,0,0,0,0,0,0,1,0,3,1,18,10472
0,0,0,0,0,0,0,1,0,4,1,18,10630.6
0,0,0,0,0,0,0,1,0,5,1,18,11032.6
0,0,0,0,0,0,0,1,0,6,1,18,11506.6
0,0,0,0,0,0,0,1,0,7,1,18,12452.2
0,0,0,0,0,0,0,1,0,8,1,18,12505.2
0,0,0,0,0,0,0,1,0,9,1,18,12603.2
0,0,0,0,0,0,0,1,0,1,2,18,10398.2
0,0,0,0,0,0,0,1,0,2,2,18,10361
0,0,0,0,0,0,0,1,0,3,2,18,10519.6
0,0,0,0,0,0,0,1,0,4,2,18,10633.6
0,0,0,0,0,0,0,1,0,5,2,18,11237
0,0,0,0,0,0,0,1,0,6,2,18,11360.8
0,0,0,0,0,0,0,1,0,7,2,18,12541.8
0,0,0,0,0,0,0,1,0,8,2,18,12355.8
0,0,0,0,0,0,0,1,0,9,2,18,12498.6
0,0,0,0,0,0,0,1,0,1,3,18,10343
0,0,0,0,0,0,0,1,0,2,3,18,10595.4
0,0,0,0,0,0,0,1,0,3,3,18,10448
0,0,0,0,0,0,0,1,0,4,3,18,10552.2
0,0,0,0,0,0,0,1,0,5,3,18,11210.4
0,0,0,0,0,0,0,1,0,6,3,18,11322.6
0,0,0,0,0,0,0,1,0,7,3,18,12718.2
0,0,0,0,0,0,0,1,0,8,3,18,12572.2
0,0,0,0,0,0,0,1,0,9,3,18,12379.2
0,0,0,0,0,0,0,1,0,1,4,18,10468.2
0,0,0,0,0,0,0,1,0,2,4,18,10199
0,0,0,0,0,0,0,1,0,3,4,18,10394.6
0,0,0,0,0,0,0,1,0,4,4,18,10741.4
0,0,0,0,0,0,0,1,0,5,4,18,10973.8
0,0,0,0,0,0,0,1,0,6,4,18,11493.2
0,0,0,0,0,0,0,1,0,7,4,18,12382.8
0,0,0,0,0,0,0,1,0,8,4,18,12468
0,0,0,0,0,0,0,1,0,9,4,18,12609.2
1,0,0,0,0,0,0,0,0,1,1,2,15131.4
1,0,0,0,0,0,0,0,0,2,1,2,15491.4
1,0,0,0,0,0,0,0,0,3,1,2,15266.6
1,0,0,0,0,0,0,0,0,4,1,2,15141.6
1,0,0,0,0,0,0,0,0,5,1,2,15442.8
1,0,0,0,0,0,0,0,0,6,1,2,17165.8
1,0,0,0,0,0,0,0,0,7,1,2,20841.2
1,0,0,0,0,0,0,0,0,8,1,2,21504.6
1,0,0,0,0,0,0,0,0,9,1,2,21204.8
1,0,0,0,0,0,0,0,0,1,2,2,14749.2
1,0,0,0,0,0,0,0,0,2,2,2,14858.2
1,0,0,0,0,0,0,0,0,3,2,2,15040.6
1,0,0,0,0,0,0,0,0,4,2,2,15250.2
1,0,0,0,0,0,0,0,0,5,2,2,15462.6
1,0,0,0,0,0,0,0,0,6,2,2,17104
1,0,0,0,0,0,0,0,0,7,2,2,20909.8
1,0,0,0,0,0,0,0,0,8,2,2,21362
1,0,0,0,0,0,0,0,0,9,2,2,21084.2
1,0,0,0,0,0,0,0,0,1,3,2,14709.6
1,0,0,0,0,0,0,0,0,2,3,2,14942.2
1,0,0,0,0,0,0,0,0,3,3,2,14897.2
1,0,0,0,0,0,0,0,0,4,3,2,15176.4
1,0,0,0,0,0,0,0,0,5,3,2,15467.2
1,0,0,0,0,0,0,0,0,6,3,2,17052.8
1,0,0,0,0,0,0,0,0,7,3,2,20790.4
1,0,0,0,0,0,0,0,0,8,3,2,21069.8
1,0,0,0,0,0,0,0,0,9,3,2,21225.2
1,0,0,0,0,0,0,0,0,1,4,2,14702.4
1,0,0,0,0,0,0,0,0,2,4,2,14877.2
1,0,0,0,0,0,0,0,0,3,4,2,14898.8
1,0,0,0,0,0,0,0,0,4,4,2,15382.6
1,0,0,0,0,0,0,0,0,5,4,2,15778.2
1,0,0,0,0,0,0,0,0,6,4,2,16809.8
1,0,0,0,0,0,0,0,0,7,4,2,20810.4
1,0,0,0,0,0,0,0,0,8,4,2,21031
1,0,0,0,0,0,0,0,0,9,4,2,21430
1,0,0,0,0,0,0,0,0,1,1,6,14617.8
1,0,0,0,0,0,0,0,0,2,1,6,14795.2
1,0,0,0,0,0,0,0,0,3,1,6,14729
1,0,0,0,0,0,0,0,0,4,1,6,14235.4
1,0,0,0,0,0,0,0,0,5,1,6,14714.2
1,0,0,0,0,0,0,0,0,6,1,6,15258.6
1,0,0,0,0,0,0,0,0,7,1,6,17261.4
1,0,0,0,0,0,0,0,0,8,1,6,17245.8
1,0,0,0,0,0,0,0,0,9,1,6,17456
1,0,0,0,0,0,0,0,0,1,2,6,14481.4
1,0,0,0,0,0,0,0,0,2,2,6,14564.4
1,0,0,0,0,0,0,0,0,3,2,6,14854.2
1,0,0,0,0,0,0,0,0,4,2,6,14317
1,0,0,0,0,0,0,0,0,5,2,6,14730.4
1,0,0,0,0,0,0,0,0,6,2,6,15332.4
1,0,0,0,0,0,0,0,0,7,2,6,17483.2
1,0,0,0,0,0,0,0,0,8,2,6,17503.2
1,0,0,0,0,0,0,0,0,9,2,6,17122
1,0,0,0,0,0,0,0,0,1,3,6,14641.6
1,0,0,0,0,0,0,0,0,2,3,6,14558
1,0,0,0,0,0,0,0,0,3,3,6,14659
1,0,0,0,0,0,0,0,0,4,3,6,14088.6
1,0,0,0,0,0,0,0,0,5,3,6,14733.4
1,0,0,0,0,0,0,0,0,6,3,6,15570.8
1,0,0,0,0,0,0,0,0,7,3,6,17186.2
1,0,0,0,0,0,0,0,0,8,3,6,17278.2
1,0,0,0,0,0,0,0,0,9,3,6,17291.4
1,0,0,0,0,0,0,0,0,1,4,6,14530.2
1,0,0,0,0,0,0,0,0,2,4,6,14440
1,0,0,0,0,0,0,0,0,3,4,6,15092.4
1,0,0,0,0,0,0,0,0,4,4,6,14165.8
1,0,0,0,0,0,0,0,0,5,4,6,14572.2
1,0,0,0,0,0,0,0,0,6,4,6,15299.6
1,0,0,0,0,0,0,0,0,7,4,6,17240.2
1,0,0,0,0,0,0,0,0,8,4,6,17271
1,0,0,0,0,0,0,0,0,9,4,6,17198
1,0,0,0,0,0,0,0,0,1,1,18,14455.4
1,0,0,0,0,0,0,0,0,2,1,18,14298
1,0,0,0,0,0,0,0,0,3,1,18,14627.8
1,0,0,0,0,0,0,0,0,4,1,18,14763
1,0,0,0,0,0,0,0,0,5,1,18,15124.8
1,0,0,0,0,0,0,0,0,6,1,18,15465.2
1,0,0,0,0,0,0,0,0,7,1,18,16702.8
1,0,0,0,0,0,0,0,0,8,1,18,16769.6
1,0,0,0,0,0,0,0,0,9,1,18,16634.8
1,0,0,0,0,0,0,0,0,1,2,18,14514.2
1,0,0,0,0,0,0,0,0,2,2,18,14372.2
1,0,0,0,0,0,0,0,0,3,2,18,14637.4
1,0,0,0,0,0,0,0,0,4,2,18,14732.8
1,0,0,0,0,0,0,0,0,5,2,18,15212.2
1,0,0,0,0,0,0,0,0,6,2,18,15906.6
1,0,0,0,0,0,0,0,0,7,2,18,16717.6
1,0,0,0,0,0,0,0,0,8,2,18,16605
1,0,0,0,0,0,0,0,0,9,2,18,16607
1,0,0,0,0,0,0,0,0,1,3,18,14591.8
1,0,0,0,0,0,0,0,0,2,3,18,15033
1,0,0,0,0,0,0,0,0,3,3,18,14561.2
1,0,0,0,0,0,0,0,0,4,3,18,14779.6
1,0,0,0,0,0,0,0,0,5,3,18,15245.2
1,0,0,0,0,0,0,0,0,6,3,18,15601.2
1,0,0,0,0,0,0,0,0,7,3,18,16832.2
1,0,0,0,0,0,0,0,0,8,3,18,16665.2
1,0,0,0,0,0,0,0,0,9,3,18,16565.8
1,0,0,0,0,0,0,0,0,1,4,18,14585.4
1,0,0,0,0,0,0,0,0,2,4,18,14838.4
1,0,0,0,0,0,0,0,0,3,4,18,14806.2
1,0,0,0,0,0,0,0,0,4,4,18,14836
1,0,0,0,0,0,0,0,0,5,4,18,15299.4
1,0,0,0,0,0,0,0,0,6,4,18,16074.6
1,0,0,0,0,0,0,0,0,7,4,18,16770.8
1,0,0,0,0,0,0,0,0,8,4,18,16767
1,0,0,0,0,0,0,0,0,9,4,18,16736
1,0,0,0,0,0,0,1,0,1,1,2,14624.4
1,0,0,0,0,0,0,1,0,2,1,2,14202.8
1,0,0,0,0,0,0,1,0,3,1,2,14197.8
1,0,0,0,0,0,0,1,0,4,1,2,13181.2
1,0,0,0,0,0,0,1,0,5,1,2,12479.6
1,0,0,0,0,0,0,1,0,6,1,2,12860.2
1,0,0,0,0,0,0,1,0,7,1,2,13879.4
1,0,0,0,0,0,0,1,0,8,1,2,14806.2
1,0,0,0,0,0,0,1,0,9,1,2,13963.2
1,0,0,0,0,0,0,1,0,1,2,2,14338.6
1,0,0,0,0,0,0,1,0,2,2,2,14281
1,0,0,0,0,0,0,1,0,3,2,2,14010.8
1,0,0,0,0,0,0,1,0,4,2,2,13721
1,0,0,0,0,0,0,1,0,5,2,2,12643
1,0,0,0,0,0,0,1,0,6,2,2,13033.6
1,0,0,0,0,0,0,1,0,7,2,2,13981.2
1,0,0,0,0,0,0,1,0,8,2,2,14105.2
1,0,0,0,0,0,0,1,0,9,2,2,13945
1,0,0,0,0,0,0,1,0,1,3,2,14339.8
1,0,0,0,0,0,0,1,0,2,3,2,14382.2
1,0,0,0,0,0,0,1,0,3,3,2,13977.8
1,0,0,0,0,0,0,1,0,4,3,2,13542
1,0,0,0,0,0,0,1,0,5,3,2,12445
1,0,0,0,0,0,0,1,0,6,3,2,12792
1,0,0,0,0,0,0,1,0,7,3,2,13697.4
1,0,0,0,0,0,0,1,0,8,3,2,13838.8
1,0,0,0,0,0,0,1,0,9,3,2,13870.6
1,0,0,0,0,0,0,1,0,1,4,2,14374.8
1,0,0,0,0,0,0,1,0,2,4,2,14206.8
1,0,0,0,0,0,0,1,0,3,4,2,14016.2
1,0,0,0,0,0,0,1,0,4,4,2,13266.8
1,0,0,0,0,0,0,1,0,5,4,2,12392
1,0,0,0,0,0,0,1,0,6,4,2,12983.4
1,0,0,0,0,0,0,1,0,7,4,2,13807.2
1,0,0,0,0,0,0,1,0,8,4,2,13986
1,0,0,0,0,0,0,1,0,9,4,2,14058.4
1,0,0,0,0,0,0,1,0,1,1,6,14367.4
1,0,0,0,0,0,0,1,0,2,1,6,14296
1,0,0,0,0,0,0,1,0,3,1,6,14542.2
1,0,0,0,0,0,0,1,0,4,1,6,12602.2
1,0,0,0,0,0,0,1,0,5,1,6,13208.8
1,0,0,0,0,0,0,1,0,6,1,6,13393.6
1,0,0,0,0,0,0,1,0,7,1,6,14575.8
1,0,0,0,0,0,0,1,0,8,1,6,14365.6
1,0,0,0,0,0,0,1,0,9,1,6,14517.2
1,0,0,0,0,0,0,1,0,1,2,6,14375.8
1,0,0,0,0,0,0,1,0,2,2,6,14299.2
1,0,0,0,0,0,0,1,0,3,2,6,14138.6
1,0,0,0,0,0,0,1,0,4,2,6,12824.4
1,0,0,0,0,0,0,1,0,5,2,6,12922.6
1,0,0,0,0,0,0,1,0,6,2,6,13302.6
1,0,0,0,0,0,0,1,0,7,2,6,14381.4
1,0,0,0,0,0,0,1,0,8,2,6,14464.4
1,0,0,0,0,0,0,1,0,9,2,6,14357
1,0,0,0,0,0,0,1,0,1,3,6,14278
1,0,0,0,0,0,0,1,0,2,3,6,14222
1,0,0,0,0,0,0,1,0,3,3,6,14394.6
1,0,0,0,0,0,0,1,0,4,3,6,12491.6
1,0,0,0,0,0,0,1,0,5,3,6,13010
1,0,0,0,0,0,0,1,0,6,3,6,13265.8
1,0,0,0,0,0,0,1,0,7,3,6,14433.8
1,0,0,0,0,0,0,1,0,8,3,6,14402.8
1,0,0,0,0,0,0,1,0,9,3,6,14337.2
1,0,0,0,0,0,0,1,0,1,4,6,14349.4
1,0,0,0,0,0,0,1,0,2,4,6,14141.8
1,0,0,0,0,0,0,1,0,3,4,6,14389.4
1,0,0,0,0,0,0,1,0,4,4,6,12496.8
1,0,0,0,0,0,0,1,0,5,4,6,12993.2
1,0,0,0,0,0,0,1,0,6,4,6,13451.8
1,0,0,0,0,0,0,1,0,7,4,6,14307.2
1,0,0,0,0,0,0,1,0,8,4,6,14362
1,0,0,0,0,0,0,1,0,9,4,6,14416
1,0,0,0,0,0,0,1,0,1,1,18,14624.4
1,0,0,0,0,0,0,1,0,2,1,18,14309.6
1,0,0,0,0,0,0,1,0,3,1,18,14547.4
1,0,0,0,0,0,0,1,0,4,1,18,14865
1,0,0,0,0,0,0,1,0,5,1,18,15231.4
1,0,0,0,0,0,0,1,0,6,1,18,15503.2
1,0,0,0,0,0,0,1,0,7,1,18,16544.8
1,0,0,0,0,0,0,1,0,8,1,18,16473.2
1,0,0,0,0,0,0,1,0,9,1,18,16572
1,0,0,0,0,0,0,1,0,1,2,18,14421.2
1,0,0,0,0,0,0,1,0,2,2,18,14265
1,0,0,0,0,0,0,1,0,3,2,18,14763
1,0,0,0,0,0,0,1,0,4,2,18,14738.4
1,0,0,0,0,0,0,1,0,5,2,18,15129.4
1,0,0,0,0,0,0,1,0,6,2,18,15449.6
1,0,0,0,0,0,0,1,0,7,2,18,16426.4
1,0,0,0,0,0,0,1,0,8,2,18,16634.8
1,0,0,0,0,0,0,1,0,9,2,18,16672.8
1,0,0,0,0,0,0,1,0,1,3,18,14512.8
1,0,0,0,0,0,0,1,0,2,3,18,14403.2
1,0,0,0,0,0,0,1,0,3,3,18,14509.2
1,0,0,0,0,0,0,1,0,4,3,18,14809.2
1,0,0,0,0,0,0,1,0,5,3,18,15176.4
1,0,0,0,0,0,0,1,0,6,3,18,15572
1,0,0,0,0,0,0,1,0,7,3,18,16471.4
1,0,0,0,0,0,0,1,0,8,3,18,16636.6
1,0,0,0,0,0,0,1,0,9,3,18,16759.8
1,0,0,0,0,0,0,1,0,1,4,18,14369.8
1,0,0,0,0,0,0,1,0,2,4,18,14359.8
1,0,0,0,0,0,0,1,0,3,4,18,14546.8
1,0,0,0,0,0,0,1,0,4,4,18,14679.8
1,0,0,0,0,0,0,1,0,5,4,18,15471.4
1,0,0,0,0,0,0,1,0,6,4,18,15507.4
1,0,0,0,0,0,0,1,0,7,4,18,16608
1,0,0,0,0,0,0,1,0,8,4,18,16555.4
1,0,0,0,0,0,0,1,0,9,4,18,17270.2
0,0,0,0,0,0,0,0,1,1,1,2,10266
0,0,0,0,0,0,0,0,1,2,1,2,10696.2
0,0,0,0,0,0,0,0,1,3,1,2,10977.6
0,0,0,0,0,0,0,0,1,4,1,2,11822
0,0,0,0,0,0,0,0,1,5,1,2,12743.8
0,0,0,0,0,0,0,0,1,6,1,2,14145
0,0,0,0,0,0,0,0,1,7,1,2,18388.2
0,0,0,0,0,0,0,0,1,8,1,2,18376.4
0,0,0,0,0,0,0,0,1,9,1,2,18440.4
0,0,0,0,0,0,0,0,1,1,2,2,10575.4
0,0,0,0,0,0,0,0,1,2,2,2,10369.8
0,0,0,0,0,0,0,0,1,3,2,2,11273
0,0,0,0,0,0,0,0,1,4,2,2,11716.8
0,0,0,0,0,0,0,0,1,5,2,2,12582.2
0,0,0,0,0,0,0,0,1,6,2,2,14296
0,0,0,0,0,0,0,0,1,7,2,2,18329.8
0,0,0,0,0,0,0,0,1,8,2,2,18311.6
0,0,0,0,0,0,0,0,1,9,2,2,18547.2
0,0,0,0,0,0,0,0,1,1,3,2,10296.6
0,0,0,0,0,0,0,0,1,2,3,2,10661.8
0,0,0,0,0,0,0,0,1,3,3,2,11151.4
0,0,0,0,0,0,0,0,1,4,3,2,11712.2
0,0,0,0,0,0,0,0,1,5,3,2,12698.2
0,0,0,0,0,0,0,0,1,6,3,2,14280.4
0,0,0,0,0,0,0,0,1,7,3,2,18272.6
0,0,0,0,0,0,0,0,1,8,3,2,18460
0,0,0,0,0,0,0,0,1,9,3,2,18420
0,0,0,0,0,0,0,0,1,1,4,2,10217.8
0,0,0,0,0,0,0,0,1,2,4,2,10891.4
0,0,0,0,0,0,0,0,1,3,4,2,11187
0,0,0,0,0,0,0,0,1,4,4,2,11784.2
0,0,0,0,0,0,0,0,1,5,4,2,12787.2
0,0,0,0,0,0,0,0,1,6,4,2,14210.8
0,0,0,0,0,0,0,0,1,7,4,2,18445.4
0,0,0,0,0,0,0,0,1,8,4,2,18385.8
0,0,0,0,0,0,0,0,1,9,4,2,18466.6
0,0,0,0,0,0,0,0,1,1,1,6,10417.6
0,0,0,0,0,0,0,0,1,2,1,6,10439.4
0,0,0,0,0,0,0,0,1,3,1,6,10760.4
0,0,0,0,0,0,0,0,1,4,1,6,10851.2
0,0,0,0,0,0,0,0,1,5,1,6,11418.6
0,0,0,0,0,0,0,0,1,6,1,6,12443.8
0,0,0,0,0,0,0,0,1,7,1,6,14130.8
0,0,0,0,0,0,0,0,1,8,1,6,14250.2
0,0,0,0,0,0,0,0,1,9,1,6,14434.4
0,0,0,0,0,0,0,0,1,1,2,6,10361
0,0,0,0,0,0,0,0,1,2,2,6,10608.2
0,0,0,0,0,0,0,0,1,3,2,6,10457.8
0,0,0,0,0,0,0,0,1,4,2,6,10926.8
0,0,0,0,0,0,0,0,1,5,2,6,11697.4
0,0,0,0,0,0,0,0,1,6,2,6,12019.2
